단어,어간근사,총건수,문서수,통상수용_건수,통상수용_비율,통상수용_lift,견적반영_건수,견적반영_비율,견적반영_lift,계약·질의검토_건수,계약·질의검토_비율,계약·질의검토_lift,최대lift_라벨,최대lift,chi2_p,모델기여_통상수용,모델기여_견적반영,모델기여_계약·질의검토,모델기여_합
사업수행사는,사업수행사,21,3,9,0.4286,0.837,3,0.1429,0.614,9,0.4286,1.678,계약·질의검토,1.678,0.168694,0.0,0.0,0.2173,0.2173
사업관리,사업관리,11,7,7,0.6364,1.243,0,0.0,0.0,4,0.3636,1.424,계약·질의검토,1.424,0.179268,0.2154,0.0,0.0,0.2154
기준을,기준,35,10,16,0.4571,0.893,5,0.1429,0.614,14,0.4,1.566,계약·질의검토,1.566,0.107948,0.1056,0.0,0.1086,0.2142
자료는,자료,16,8,11,0.6875,1.343,3,0.1875,0.806,2,0.125,0.489,통상수용,1.343,0.331585,0.2106,0.0,0.0,0.2106
프롬프트,프롬프트,35,7,7,0.2,0.391,15,0.4286,1.842,13,0.3714,1.454,견적반영,1.842,0.000602,0.0,0.1964,0.0122,0.2086
자료를,자료,21,9,12,0.5714,1.116,3,0.1429,0.614,6,0.2857,1.119,계약·질의검토,1.119,0.615345,0.2085,0.0,0.0,0.2085
사업정보,사업정보,5,5,3,0.6,1.172,2,0.4,1.719,0,0.0,0.0,견적반영,1.719,0.374364,0.1159,0.0924,0.0,0.2083
인터페이스를,인터페이스,14,5,3,0.2143,0.419,7,0.5,2.149,4,0.2857,1.119,견적반영,2.149,0.032122,0.1062,0.0,0.0972,0.2034
통상적인,통상적인,8,6,8,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.021338,0.2034,0.0,0.0,0.2034
로그인,로그인,20,9,11,0.55,1.074,2,0.1,0.43,7,0.35,1.37,계약·질의검토,1.37,0.313369,0.2021,0.0,0.0,0.2021
표준제조기준,표준제조기준,3,1,2,0.6667,1.302,1,0.3333,1.433,0,0.0,0.0,견적반영,1.433,0.594346,0.2018,0.0,0.0,0.2018
수행하여야,수행하여야,36,8,15,0.4167,0.814,6,0.1667,0.716,15,0.4167,1.631,계약·질의검토,1.631,0.075054,0.1484,0.0,0.0514,0.1998
지식베이스를,지식베이스,3,1,0,0.0,0.0,2,0.6667,2.865,1,0.3333,1.305,견적반영,2.865,0.132095,0.0,0.1996,0.0,0.1996
S/W,S/W,26,8,3,0.1154,0.225,9,0.3462,1.488,14,0.5385,2.108,계약·질의검토,2.108,0.000118,0.0,0.0,0.199,0.199
사업,사업,139,10,72,0.518,1.012,16,0.1151,0.495,51,0.3669,1.437,계약·질의검토,1.437,0.000144,0.1272,0.0,0.0713,0.1985
