단어,어간근사,총건수,문서수,통상수용_건수,통상수용_비율,통상수용_lift,견적반영_건수,견적반영_비율,견적반영_lift,계약·질의검토_건수,계약·질의검토_비율,계약·질의검토_lift,최대lift_라벨,최대lift,chi2_p,모델기여_통상수용,모델기여_견적반영,모델기여_계약·질의검토,모델기여_합
언어모델,언어모델,5,3,2,0.4,0.781,1,0.2,0.86,2,0.4,1.566,계약·질의검토,1.566,0.756712,0.0,0.0088,0.0557,0.0645
표준화된,표준화된,8,5,1,0.125,0.244,5,0.625,2.686,2,0.25,0.979,견적반영,2.686,0.021294,0.0644,0.0,0.0,0.0644
기반으로,기반,50,8,11,0.22,0.43,26,0.52,2.235,13,0.26,1.018,견적반영,2.235,1e-06,0.0,0.0637,0.0,0.0637
하여야,하여야,44,10,16,0.3636,0.71,10,0.2273,0.977,18,0.4091,1.602,계약·질의검토,1.602,0.043677,0.0633,0.0,0.0,0.0633
모델(120B,모델(120B,6,1,0,0.0,0.0,0,0.0,0.0,6,1.0,3.915,계약·질의검토,3.915,0.00015,0.0,0.063,0.0,0.063
구축한,구축한,5,3,0,0.0,0.0,1,0.2,0.86,4,0.8,3.132,계약·질의검토,3.132,0.014743,0.0,0.0628,0.0,0.0628
지식베이스에,지식베이스,5,1,2,0.4,0.781,3,0.6,2.579,0,0.0,0.0,견적반영,2.579,0.11521,0.0095,0.0532,0.0,0.0627
품질보증계획,품질보증계획,4,3,3,0.75,1.465,0,0.0,0.0,1,0.25,0.979,통상수용,1.465,0.501542,0.0627,0.0,0.0,0.0627
소스코드에,소스코드,3,3,2,0.6667,1.302,0,0.0,0.0,1,0.3333,1.305,계약·질의검토,1.305,0.633592,0.0627,0.0,0.0,0.0627
사용자에,사용자,4,3,3,0.75,1.465,1,0.25,1.074,0,0.0,0.0,통상수용,1.465,0.478031,0.0624,0.0,0.0,0.0624
자료실,자료실,4,3,3,0.75,1.465,1,0.25,1.074,0,0.0,0.0,통상수용,1.465,0.478031,0.0617,0.0,0.0,0.0617
가능한,가능한,105,10,30,0.2857,0.558,41,0.3905,1.678,34,0.3238,1.268,견적반영,1.678,2e-06,0.0,0.0248,0.0367,0.0615
종료,종료,31,10,15,0.4839,0.945,9,0.2903,1.248,7,0.2258,0.884,견적반영,1.248,0.734442,0.0426,0.0187,0.0,0.0613
보장하여야,보장하여야,16,6,12,0.75,1.465,1,0.0625,0.269,3,0.1875,0.734,통상수용,1.465,0.127216,0.0613,0.0,0.0,0.0613
교육계획서에는,교육계획서에,4,4,2,0.5,0.977,0,0.0,0.0,2,0.5,1.958,계약·질의검토,1.958,0.39124,0.0047,0.0,0.0564,0.0611
검색된,검색된,7,4,4,0.5714,1.116,3,0.4286,1.842,0,0.0,0.0,견적반영,1.842,0.221626,0.0376,0.0233,0.0,0.0609
소프트웨어,소프트웨어,44,10,20,0.4545,0.888,10,0.2273,0.977,14,0.3182,1.246,계약·질의검토,1.246,0.60186,0.0607,0.0,0.0,0.0607
사용하여야,사용하여야,6,4,4,0.6667,1.302,2,0.3333,1.433,0,0.0,0.0,견적반영,1.433,0.352048,0.0607,0.0,0.0,0.0607
AI가,AI,10,4,0,0.0,0.0,5,0.5,2.149,5,0.5,1.958,견적반영,2.149,0.004874,0.0,0.0605,0.0,0.0605
처리가,처리,9,8,0,0.0,0.0,5,0.5556,2.388,4,0.4444,1.74,견적반영,2.388,0.006752,0.0,0.0605,0.0,0.0605
질의,질의,37,9,7,0.1892,0.37,14,0.3784,1.626,16,0.4324,1.693,계약·질의검토,1.693,0.000321,0.0,0.0419,0.0184,0.0603
가능,가능,78,10,29,0.3718,0.726,19,0.2436,1.047,30,0.3846,1.506,계약·질의검토,1.506,0.011804,0.0079,0.0,0.0523,0.0602
검색할,검색할,11,4,3,0.2727,0.533,6,0.5455,2.344,2,0.1818,0.712,견적반영,2.344,0.045948,0.0125,0.0475,0.0,0.06
수립해야,수립해야,8,2,5,0.625,1.221,1,0.125,0.537,2,0.25,0.979,통상수용,1.221,0.739071,0.0502,0.0,0.0097,0.0599
제품인,제품인,3,1,0,0.0,0.0,0,0.0,0.0,3,1.0,3.915,계약·질의검토,3.915,0.012436,0.0,0.0,0.0599,0.0599
품질관리를,품질관리,3,2,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0597,0.0,0.0,0.0597
완료된,완료된,30,7,14,0.4667,0.912,8,0.2667,1.146,8,0.2667,1.044,견적반영,1.146,0.863628,0.0596,0.0,0.0,0.0596
현행화,현행화,15,7,10,0.6667,1.302,2,0.1333,0.573,3,0.2,0.783,통상수용,1.302,0.462201,0.0596,0.0,0.0,0.0596
지원해야,지원해야,33,6,6,0.1818,0.355,14,0.4242,1.823,13,0.3939,1.542,견적반영,1.823,0.000488,0.0,0.0377,0.0217,0.0594
교육계획서를,교육계획서,3,3,1,0.3333,0.651,0,0.0,0.0,2,0.6667,2.61,계약·질의검토,2.61,0.236826,0.0047,0.0,0.0547,0.0594
자동생성,자동생성,4,4,0,0.0,0.0,3,0.75,3.223,1,0.25,0.979,견적반영,3.223,0.035481,0.0,0.0593,0.0,0.0593
검수는,검수,8,6,3,0.375,0.733,1,0.125,0.537,4,0.5,1.958,계약·질의검토,1.958,0.2742,0.0,0.0,0.0592,0.0592
관리해야,관리해야,8,3,1,0.125,0.244,3,0.375,1.612,4,0.5,1.958,계약·질의검토,1.958,0.08406,0.0545,0.0,0.0047,0.0592
정기보고,정기보고,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0589,0.0,0.0,0.0589
도입되는,도입되,11,6,1,0.0909,0.178,1,0.0909,0.391,9,0.8182,3.203,계약·질의검토,3.203,9e-05,0.0,0.0,0.0588,0.0588
워크스페이스,워크스페이스,8,1,3,0.375,0.733,5,0.625,2.686,0,0.0,0.0,견적반영,2.686,0.021338,0.0,0.0587,0.0,0.0587
방법론,방법론,12,5,4,0.3333,0.651,4,0.3333,1.433,4,0.3333,1.305,견적반영,1.433,0.454825,0.0585,0.0,0.0,0.0585
데이터플랫폼,데이터플랫폼,4,2,1,0.25,0.488,0,0.0,0.0,3,0.75,2.936,계약·질의검토,2.936,0.069923,0.0,0.0,0.0584,0.0584
플랫폼과,플랫폼,4,2,1,0.25,0.488,2,0.5,2.149,1,0.25,0.979,견적반영,2.149,0.412192,0.0,0.0,0.0584,0.0584
연계를,연계,25,8,2,0.08,0.156,11,0.44,1.891,12,0.48,1.879,견적반영,1.891,6.8e-05,0.0,0.0,0.0582,0.0582
발주기관에서,발주기관,8,6,4,0.5,0.977,0,0.0,0.0,4,0.5,1.958,계약·질의검토,1.958,0.151819,0.0,0.0,0.0582,0.0582
하도급하려는,하도급하려,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0579,0.0,0.0,0.0579
3시간,3시간,3,2,0,0.0,0.0,0,0.0,0.0,3,1.0,3.915,계약·질의검토,3.915,0.012436,0.0,0.0,0.0577,0.0577
제거하여야,제거하여야,4,3,4,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.147302,0.0574,0.0,0.0,0.0574
제품으로,제품,4,2,0,0.0,0.0,0,0.0,0.0,4,1.0,3.915,계약·질의검토,3.915,0.002863,0.0,0.0,0.0572,0.0572
대비하기,대비하기,3,2,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.057,0.0,0.0,0.057
개발의,개발,7,3,5,0.7143,1.395,1,0.1429,0.614,1,0.1429,0.559,통상수용,1.395,0.560235,0.0569,0.0,0.0,0.0569
중간보고,중간보고,5,5,4,0.8,1.563,0,0.0,0.0,1,0.2,0.783,통상수용,1.563,0.359644,0.0569,0.0,0.0,0.0569
도출,도출,19,8,11,0.5789,1.131,6,0.3158,1.357,2,0.1053,0.412,견적반영,1.357,0.292524,0.0567,0.0,0.0,0.0567
확보,확보,45,9,11,0.2444,0.478,19,0.4222,1.815,15,0.3333,1.305,견적반영,1.815,0.000543,0.0,0.0563,0.0,0.0563
파기,파기,5,4,4,0.8,1.563,1,0.2,0.86,0,0.0,0.0,통상수용,1.563,0.346078,0.0563,0.0,0.0,0.0563
사업의,사업,30,9,17,0.5667,1.107,2,0.0667,0.287,11,0.3667,1.436,계약·질의검토,1.436,0.068663,0.0516,0.0,0.0046,0.0562
배포된,배포된,6,1,0,0.0,0.0,6,1.0,4.298,0,0.0,0.0,견적반영,4.298,4.7e-05,0.0,0.0561,0.0,0.0561
발주기관이,발주기관,10,5,4,0.4,0.781,1,0.1,0.43,5,0.5,1.958,계약·질의검토,1.958,0.184514,0.0,0.0,0.056,0.056
비식별화,비식별화,13,5,0,0.0,0.0,7,0.5385,2.314,6,0.4615,1.807,견적반영,2.314,0.000808,0.0,0.0557,0.0,0.0557
표준에,표준,7,5,6,0.8571,1.674,1,0.1429,0.614,0,0.0,0.0,통상수용,1.674,0.158151,0.0557,0.0,0.0,0.0557
저장,저장,72,10,27,0.375,0.733,24,0.3333,1.433,21,0.2917,1.142,견적반영,1.433,0.035786,0.0,0.0555,0.0,0.0555
이상으로,이상,7,5,3,0.4286,0.837,1,0.1429,0.614,3,0.4286,1.678,계약·질의검토,1.678,0.557571,0.0,0.0,0.0553,0.0553
파이프라인,파이프라인,33,5,5,0.1515,0.296,10,0.303,1.302,18,0.5455,2.136,계약·질의검토,2.136,3.2e-05,0.0,0.055,0.0,0.055
추출정보(제출자료)의,추출정보(제출자료),3,1,0,0.0,0.0,2,0.6667,2.865,1,0.3333,1.305,견적반영,2.865,0.132095,0.0217,0.0333,0.0,0.055
K-RMF,K-RMF,6,1,1,0.1667,0.326,3,0.5,2.149,2,0.3333,1.305,견적반영,2.149,0.182285,0.0546,0.0,0.0,0.0546
개발용,개발용,8,4,3,0.375,0.733,3,0.375,1.612,2,0.25,0.979,견적반영,1.612,0.606885,0.0545,0.0,0.0,0.0545
조치가,조치,6,4,0,0.0,0.0,1,0.1667,0.716,5,0.8333,3.263,계약·질의검토,3.263,0.003884,0.0,0.0,0.0544,0.0544
접근성을,접근성,4,4,3,0.75,1.465,1,0.25,1.074,0,0.0,0.0,통상수용,1.465,0.478031,0.0544,0.0,0.0,0.0544
암호화,암호화,34,9,10,0.2941,0.575,8,0.2353,1.011,16,0.4706,1.842,계약·질의검토,1.842,0.007944,0.0,0.0,0.0542,0.0542
이력을,이력,31,7,8,0.2581,0.504,15,0.4839,2.08,8,0.2581,1.01,견적반영,2.08,0.001715,0.0,0.0542,0.0,0.0542
효율적인,효율적인,9,4,2,0.2222,0.434,6,0.6667,2.865,1,0.1111,0.435,견적반영,2.865,0.008282,0.0,0.0542,0.0,0.0542
효율적으로,효율적,7,4,0,0.0,0.0,7,1.0,4.298,0,0.0,0.0,견적반영,4.298,9e-06,0.0,0.0542,0.0,0.0542
사용을,사용,6,6,5,0.8333,1.628,0,0.0,0.0,1,0.1667,0.653,통상수용,1.628,0.245327,0.0542,0.0,0.0,0.0542
외부,외부,50,7,11,0.22,0.43,15,0.3,1.289,24,0.48,1.879,계약·질의검토,1.879,4e-05,0.0245,0.0,0.0296,0.0541
검토서,검토서,15,2,11,0.7333,1.433,3,0.2,0.86,1,0.0667,0.261,통상수용,1.433,0.160644,0.0541,0.0,0.0,0.0541
검토서에,검토서,11,2,8,0.7273,1.421,2,0.1818,0.781,1,0.0909,0.356,통상수용,1.421,0.314743,0.0541,0.0,0.0,0.0541
발주기관은,발주기관,7,3,2,0.2857,0.558,3,0.4286,1.842,2,0.2857,1.119,견적반영,1.842,0.388001,0.0,0.0,0.0541,0.0541
문제점을,문제점,4,4,2,0.5,0.977,1,0.25,1.074,1,0.25,0.979,견적반영,1.074,0.996631,0.054,0.0,0.0,0.054
점검방법,점검방법,5,3,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.0538,0.0,0.0,0.0538
지속적인,지속적인,22,7,12,0.5455,1.066,1,0.0455,0.195,9,0.4091,1.602,계약·질의검토,1.602,0.063017,0.0537,0.0,0.0,0.0537
신청,신청,21,4,11,0.5238,1.023,6,0.2857,1.228,4,0.1905,0.746,견적반영,1.228,0.733298,0.0379,0.0156,0.0,0.0535
기록한,기록한,5,5,4,0.8,1.563,1,0.2,0.86,0,0.0,0.0,통상수용,1.563,0.346078,0.0485,0.0049,0.0,0.0534
마련하여야,마련하여야,8,4,3,0.375,0.733,3,0.375,1.612,2,0.25,0.979,견적반영,1.612,0.606885,0.0533,0.0,0.0,0.0533
응용프로그램,응용프로그램,4,3,1,0.25,0.488,1,0.25,1.074,2,0.5,1.958,계약·질의검토,1.958,0.476048,0.0532,0.0,0.0,0.0532
정합성,정합성,23,9,14,0.6087,1.189,7,0.3043,1.308,2,0.087,0.34,견적반영,1.308,0.167555,0.0531,0.0,0.0,0.0531
개발이,개발,6,5,5,0.8333,1.628,1,0.1667,0.716,0,0.0,0.0,통상수용,1.628,0.237583,0.0531,0.0,0.0,0.0531
개발도구,개발도구,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0531,0.0,0.0,0.0531
준수지침(행정안전부,준수지침(행정안전부,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0529,0.0,0.0,0.0529
중간보고회,중간보고회,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0527,0.0,0.0,0.0527
계약,계약,36,9,12,0.3333,0.651,5,0.1389,0.597,19,0.5278,2.066,계약·질의검토,2.066,0.000666,0.0,0.0,0.0525,0.0525
정의된,정의된,13,5,7,0.5385,1.052,3,0.2308,0.992,3,0.2308,0.904,통상수용,1.052,0.975446,0.0525,0.0,0.0,0.0525
획득한,획득한,12,7,8,0.6667,1.302,2,0.1667,0.716,2,0.1667,0.653,통상수용,1.302,0.556699,0.0524,0.0,0.0,0.0524
등록·관리할,등록·관리할,3,1,2,0.6667,1.302,1,0.3333,1.433,0,0.0,0.0,견적반영,1.433,0.594346,0.0524,0.0,0.0,0.0524
요청을,요청,7,5,1,0.1429,0.279,2,0.2857,1.228,4,0.5714,2.237,계약·질의검토,2.237,0.09443,0.0,0.0,0.0523,0.0523
도구,도구,41,9,15,0.3659,0.715,12,0.2927,1.258,14,0.3415,1.337,계약·질의검토,1.337,0.157597,0.0,0.0519,0.0,0.0519
비정형,비정형,15,7,0,0.0,0.0,10,0.6667,2.865,5,0.3333,1.305,견적반영,2.865,3.5e-05,0.0,0.0519,0.0,0.0519
구현하여야,구현하여야,14,7,8,0.5714,1.116,2,0.1429,0.614,4,0.2857,1.119,계약·질의검토,1.119,0.72526,0.0519,0.0,0.0,0.0519
누출금지,누출금지,9,6,7,0.7778,1.519,1,0.1111,0.478,1,0.1111,0.435,통상수용,1.519,0.276199,0.0519,0.0,0.0,0.0519
추진일정,추진일정,5,4,3,0.6,1.172,0,0.0,0.0,2,0.4,1.566,계약·질의검토,1.566,0.436605,0.0519,0.0,0.0,0.0519
편의성,편의성,13,8,11,0.8462,1.653,2,0.1538,0.661,0,0.0,0.0,통상수용,1.653,0.036926,0.0516,0.0,0.0,0.0516
언급되지,언급되지,3,3,2,0.6667,1.302,0,0.0,0.0,1,0.3333,1.305,계약·질의검토,1.305,0.633592,0.0,0.0,0.0516,0.0516
온라인,온라인,11,5,7,0.6364,1.243,2,0.1818,0.781,2,0.1818,0.712,통상수용,1.243,0.705846,0.0,0.0,0.0512,0.0512
시스템에서,시스템,20,7,7,0.35,0.684,6,0.3,1.289,7,0.35,1.37,계약·질의검토,1.37,0.339424,0.0,0.0511,0.0,0.0511
용이성을,용이성,10,4,8,0.8,1.563,0,0.0,0.0,2,0.2,0.783,통상수용,1.563,0.127905,0.0511,0.0,0.0,0.0511
목록,목록,46,8,22,0.4783,0.934,18,0.3913,1.682,6,0.1304,0.511,견적반영,1.682,0.015748,0.0,0.051,0.0,0.051
모델에,모델,10,4,1,0.1,0.195,4,0.4,1.719,5,0.5,1.958,계약·질의검토,1.958,0.031198,0.0,0.0509,0.0,0.0509
비용을,비용,9,6,2,0.2222,0.434,1,0.1111,0.478,6,0.6667,2.61,계약·질의검토,2.61,0.017549,0.0,0.0,0.0508,0.0508
확인하기,확인하기,4,3,2,0.5,0.977,0,0.0,0.0,2,0.5,1.958,계약·질의검토,1.958,0.39124,0.0505,0.0,0.0,0.0505
제안하여야,제안하여야,12,5,3,0.25,0.488,3,0.25,1.074,6,0.5,1.958,계약·질의검토,1.958,0.105796,0.0,0.0,0.0502,0.0502
지식베이스,지식베이스,8,2,1,0.125,0.244,6,0.75,3.223,1,0.125,0.489,견적반영,3.223,0.002267,0.0095,0.0407,0.0,0.0502
법령,법령,20,5,6,0.3,0.586,5,0.25,1.074,9,0.45,1.762,계약·질의검토,1.762,0.088472,0.0,0.0116,0.0385,0.0501
작성에,작성,4,2,1,0.25,0.488,1,0.25,1.074,2,0.5,1.958,계약·질의검토,1.958,0.476048,0.0501,0.0,0.0,0.0501
사업관리자(PM)는,사업관리자(PM),3,3,2,0.6667,1.302,0,0.0,0.0,1,0.3333,1.305,계약·질의검토,1.305,0.633592,0.0501,0.0,0.0,0.0501
구축하여야,구축하여야,17,5,8,0.4706,0.919,4,0.2353,1.011,5,0.2941,1.152,계약·질의검토,1.152,0.923187,0.0296,0.0,0.0204,0.05
제안사의,제안사,11,6,4,0.3636,0.71,1,0.0909,0.391,6,0.5455,2.136,계약·질의검토,2.136,0.077829,0.0,0.0,0.05,0.05
도입수량,도입수량,9,1,0,0.0,0.0,4,0.4444,1.91,5,0.5556,2.175,계약·질의검토,2.175,0.00819,0.0,0.0,0.05,0.05
업데이트,업데이트,17,7,6,0.3529,0.689,7,0.4118,1.77,4,0.2353,0.921,견적반영,1.77,0.19502,0.0158,0.0341,0.0,0.0499
생성형,생성형,49,9,11,0.2245,0.439,14,0.2857,1.228,24,0.4898,1.918,계약·질의검토,1.918,4.3e-05,0.0,0.0287,0.0207,0.0494
기능/비기능,기능/비기능,5,5,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.0494,0.0,0.0,0.0494
등이,등이,41,9,19,0.4634,0.905,3,0.0732,0.314,19,0.4634,1.814,계약·질의검토,1.814,0.002292,0.0,0.0,0.0492,0.0492
정의와,정의,3,3,2,0.6667,1.302,0,0.0,0.0,1,0.3333,1.305,계약·질의검토,1.305,0.633592,0.0486,0.0,0.0,0.0486
운영자,운영자,11,7,6,0.5455,1.066,2,0.1818,0.781,3,0.2727,1.068,계약·질의검토,1.068,0.9225,0.0058,0.0,0.0426,0.0484
활동을,활동,13,8,9,0.6923,1.352,2,0.1538,0.661,2,0.1538,0.602,통상수용,1.352,0.422521,0.0483,0.0,0.0,0.0483
인터넷,인터넷,18,7,12,0.6667,1.302,3,0.1667,0.716,3,0.1667,0.653,통상수용,1.302,0.412956,0.0481,0.0,0.0,0.0481
공사에,공사,9,2,2,0.2222,0.434,3,0.3333,1.433,4,0.4444,1.74,계약·질의검토,1.74,0.206275,0.0,0.0,0.048,0.048
제안한,제안한,10,5,2,0.2,0.391,2,0.2,0.86,6,0.6,2.349,계약·질의검토,2.349,0.035658,0.0,0.0,0.0479,0.0479
아키텍처,아키텍처,27,8,6,0.2222,0.434,11,0.4074,1.751,10,0.3704,1.45,견적반영,1.751,0.008037,0.0,0.0475,0.0,0.0475
컨테이너,컨테이너,24,4,2,0.0833,0.163,17,0.7083,3.044,5,0.2083,0.816,견적반영,3.044,0.0,0.0,0.0474,0.0,0.0474
컨테이너에,컨테이너,3,1,0,0.0,0.0,2,0.6667,2.865,1,0.3333,1.305,견적반영,2.865,0.132095,0.0,0.0474,0.0,0.0474
인프라를,인프라,5,4,0,0.0,0.0,4,0.8,3.438,1,0.2,0.783,견적반영,3.438,0.008281,0.0,0.0473,0.0,0.0473
양식에,양식,5,3,2,0.4,0.781,1,0.2,0.86,2,0.4,1.566,계약·질의검토,1.566,0.756712,0.0472,0.0,0.0,0.0472
요청,요청,47,9,11,0.234,0.457,13,0.2766,1.189,23,0.4894,1.916,계약·질의검토,1.916,9.7e-05,0.0,0.0,0.047,0.047
보고하여야,보고하여야,8,6,6,0.75,1.465,1,0.125,0.537,1,0.125,0.489,통상수용,1.465,0.399879,0.0469,0.0,0.0,0.0469
세부사항은,세부사항,8,4,5,0.625,1.221,1,0.125,0.537,2,0.25,0.979,통상수용,1.221,0.739071,0.0,0.0,0.0469,0.0469
운영하여야,운영하여야,3,3,0,0.0,0.0,2,0.6667,2.865,1,0.3333,1.305,견적반영,2.865,0.132095,0.0469,0.0,0.0,0.0469
버전,버전,51,8,14,0.2745,0.536,24,0.4706,2.022,13,0.2549,0.998,견적반영,2.022,7.2e-05,0.0,0.0468,0.0,0.0468
기능점수,기능점수,5,5,2,0.4,0.781,3,0.6,2.579,0,0.0,0.0,견적반영,2.579,0.11521,0.0177,0.0291,0.0,0.0468
수행계획서,수행계획서,4,3,3,0.75,1.465,0,0.0,0.0,1,0.25,0.979,통상수용,1.465,0.501542,0.0468,0.0,0.0,0.0468
메타데이터로,메타데이터,4,2,2,0.5,0.977,1,0.25,1.074,1,0.25,0.979,견적반영,1.074,0.996631,0.0,0.0467,0.0,0.0467
이행되었는지,이행되었는지,3,3,1,0.3333,0.651,2,0.6667,2.865,0,0.0,0.0,견적반영,2.865,0.183378,0.0,0.0466,0.0,0.0466
복구체계,복구체계,3,3,1,0.3333,0.651,2,0.6667,2.865,0,0.0,0.0,견적반영,2.865,0.183378,0.0,0.0101,0.0363,0.0464
전자정부서비스,전자정부서비스,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.0464,0.0,0.0,0.0464
모델과,모델,8,3,0,0.0,0.0,4,0.5,2.149,4,0.5,1.958,견적반영,2.149,0.014268,0.0,0.0463,0.0,0.0463
검색어를,검색어,3,2,1,0.3333,0.651,2,0.6667,2.865,0,0.0,0.0,견적반영,2.865,0.183378,0.0376,0.0086,0.0,0.0462
민원신청(624종,민원신청(624종,3,1,2,0.6667,1.302,1,0.3333,1.433,0,0.0,0.0,견적반영,1.433,0.594346,0.0461,0.0,0.0,0.0461
발견,발견,12,6,4,0.3333,0.651,3,0.25,1.074,5,0.4167,1.631,계약·질의검토,1.631,0.365898,0.0,0.0,0.0459,0.0459
문서로,문서,10,5,3,0.3,0.586,4,0.4,1.719,3,0.3,1.175,견적반영,1.719,0.335921,0.0,0.0459,0.0,0.0459
다운로드,다운로드,41,8,20,0.4878,0.953,10,0.2439,1.048,11,0.2683,1.05,계약·질의검토,1.05,0.951345,0.0458,0.0,0.0,0.0458
데이터만,데이터,5,2,0,0.0,0.0,1,0.2,0.86,4,0.8,3.132,계약·질의검토,3.132,0.014743,0.0,0.0458,0.0,0.0458
등)에,등),38,8,17,0.4474,0.874,9,0.2368,1.018,12,0.3158,1.236,계약·질의검토,1.236,0.640497,0.0,0.0193,0.0264,0.0457
검토(성능,검토(성능,4,1,0,0.0,0.0,1,0.25,1.074,3,0.75,2.936,계약·질의검토,2.936,0.052096,0.0,0.0,0.0457,0.0457
어플리케이션,어플리케이션,6,5,3,0.5,0.977,1,0.1667,0.716,2,0.3333,1.305,계약·질의검토,1.305,0.878816,0.0454,0.0,0.0,0.0454
주간보고,주간보고,5,5,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.0452,0.0,0.0,0.0452
업무는,업무,3,3,2,0.6667,1.302,0,0.0,0.0,1,0.3333,1.305,계약·질의검토,1.305,0.633592,0.045,0.0,0.0,0.045
개발자,개발자,6,5,5,0.8333,1.628,1,0.1667,0.716,0,0.0,0.0,통상수용,1.628,0.237583,0.0449,0.0,0.0,0.0449
안정화를,안정화,3,3,1,0.3333,0.651,0,0.0,0.0,2,0.6667,2.61,계약·질의검토,2.61,0.236826,0.0332,0.0,0.0115,0.0447
10,10,17,6,5,0.2941,0.575,4,0.2353,1.011,8,0.4706,1.842,계약·질의검토,1.842,0.09326,0.0,0.0,0.0444,0.0444
품질보증계획과,품질보증계획,4,3,4,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.147302,0.0444,0.0,0.0,0.0444
보관,보관,17,7,9,0.5294,1.034,7,0.4118,1.77,1,0.0588,0.23,견적반영,1.77,0.081356,0.0443,0.0,0.0,0.0443
유효성,유효성,9,4,4,0.4444,0.868,1,0.1111,0.478,4,0.4444,1.74,계약·질의검토,1.74,0.381053,0.0,0.0,0.0443,0.0443
조치하여야,조치하여야,5,4,1,0.2,0.391,0,0.0,0.0,4,0.8,3.132,계약·질의검토,3.132,0.018661,0.0,0.0,0.0443,0.0443
정합성이,정합성,5,3,4,0.8,1.563,1,0.2,0.86,0,0.0,0.0,통상수용,1.563,0.346078,0.0442,0.0,0.0,0.0442
내부,내부,51,9,16,0.3137,0.613,15,0.2941,1.264,20,0.3922,1.535,계약·질의검토,1.535,0.011283,0.0,0.0,0.0441,0.0441
행정안전부,행정안전부,6,5,4,0.6667,1.302,1,0.1667,0.716,1,0.1667,0.653,통상수용,1.302,0.747552,0.044,0.0,0.0,0.044
구성(상시,구성(상시,4,1,3,0.75,1.465,1,0.25,1.074,0,0.0,0.0,통상수용,1.465,0.478031,0.0,0.0439,0.0,0.0439
사업기간,사업기간,25,8,12,0.48,0.938,4,0.16,0.688,9,0.36,1.409,계약·질의검토,1.409,0.420006,0.022,0.0,0.0217,0.0437
검수완료,검수완료,3,2,0,0.0,0.0,0,0.0,0.0,3,1.0,3.915,계약·질의검토,3.915,0.012436,0.0,0.0,0.0437,0.0437
용이성,용이성,4,3,4,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.147302,0.0436,0.0,0.0,0.0436
연동이,연동,5,3,0,0.0,0.0,4,0.8,3.438,1,0.2,0.783,견적반영,3.438,0.008281,0.0,0.0,0.0435,0.0435
방향,방향,9,4,1,0.1111,0.217,6,0.6667,2.865,2,0.2222,0.87,견적반영,2.865,0.005953,0.0,0.0432,0.0,0.0432
운영에,운영,19,8,11,0.5789,1.131,1,0.0526,0.226,7,0.3684,1.442,계약·질의검토,1.442,0.146381,0.0431,0.0,0.0,0.0431
발생하는,발생하,42,8,18,0.4286,0.837,7,0.1667,0.716,17,0.4048,1.585,계약·질의검토,1.585,0.071947,0.0,0.0,0.043,0.043
수량에,수량,6,2,0,0.0,0.0,2,0.3333,1.433,4,0.6667,2.61,계약·질의검토,2.61,0.025305,0.0,0.0,0.0429,0.0429
기술,기술,69,10,21,0.3043,0.595,25,0.3623,1.557,23,0.3333,1.305,견적반영,1.557,0.00121,0.0,0.0,0.0427,0.0427
호환,호환,11,7,5,0.4545,0.888,1,0.0909,0.391,5,0.4545,1.78,계약·질의검토,1.78,0.251374,0.0423,0.0,0.0,0.0423
보장하기,보장하기,5,3,3,0.6,1.172,2,0.4,1.719,0,0.0,0.0,견적반영,1.719,0.374364,0.0423,0.0,0.0,0.0423
유사한,유사한,12,5,5,0.4167,0.814,2,0.1667,0.716,5,0.4167,1.631,계약·질의검토,1.631,0.431509,0.0422,0.0,0.0,0.0422
진척사항,진척사항,4,4,4,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.147302,0.0421,0.0,0.0,0.0421
득하여야,득하여야,3,1,2,0.6667,1.302,1,0.3333,1.433,0,0.0,0.0,견적반영,1.433,0.594346,0.0421,0.0,0.0,0.0421
상담지식,상담지식,3,1,0,0.0,0.0,2,0.6667,2.865,1,0.3333,1.305,견적반영,2.865,0.132095,0.0,0.0419,0.0,0.0419
